Rank,Release Group,Worldwide,Domestic,%,Foreign,%
26,Doraemon the Movie: Nobita's Little Star Wars 2021,"$9,992,175",-,-,"$9,992,175",100%
27,Vaillante,"$9,904,495",-,-,"$9,904,495",100%
28,Redeeming Love,"$9,436,988","$9,214,020",97.6%,"$222,968",2.4%
29,Bergen,"$9,349,634",-,-,"$9,349,634",100%
30,Turning Red,"$8,643,727",-,-,"$8,643,727",100%
31,The Bad Guys,"$8,438,000",-,-,"$8,438,000",100%
32,X,"$7,177,008","$6,784,092",94.5%,"$392,916",5.5%
33,The Duke,"$7,040,314",-,-,"$7,040,314",100%
34,Cyrano,"$6,161,016","$3,788,241",61.5%,"$2,372,775",38.5%
35,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
36,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
37,Adieu Monsieur Haffmann,"$5,781,484",-,-,"$5,781,484",100%
38,Bheeshma Parvam,"$5,758,666",-,-,"$5,758,666",100%
39,RRR,"$5,400,000","$5,400,000",100%,-,-
40,Chickenhare and the Hamster of Darkness,"$5,378,720",-,-,"$5,378,720",100%
41,The Cherry Bushido,"$5,119,325","$14,182",0.3%,"$5,105,143",99.7%
42,The Cursed,"$4,588,389","$4,588,389",100%,-,-
43,Waiting for Bojangles,"$4,472,077",-,-,"$4,472,077",100%
44,Ambulance,"$4,274,000",-,-,"$4,274,000",100%
45,Pawankhind,"$4,260,686",-,-,"$4,260,686",100%
46,The Godfather 2022 Re-release,"$4,214,662","$1,414,662",33.6%,"$2,800,000",66.4%
47,Maigret,"$3,974,524",-,-,"$3,974,524",100%
48,Koniec swiata czyli Kogel Mogel 4,"$3,957,350",-,-,"$3,957,350",100%
49,Beautiful Minds,"$3,651,250",-,-,"$3,651,250",100%
50,Un Autre Monde,"$3,570,119",-,-,"$3,570,119",100%
51,Special Delivery,"$3,536,617",-,-,"$3,536,617",100%
52,King,"$3,516,803",-,-,"$3,516,803",100%
53,Belli ciao,"$3,423,847",-,-,"$3,423,847",100%
54,Between Two Worlds,"$3,317,253",-,-,"$3,317,253",100%
55,Goliath,"$3,276,852",-,-,"$3,276,852",100%
56,Etharkkum Thunindhavan,"$3,264,667",-,-,"$3,264,667",100%
57,Ox-Head Village,"$3,250,402",-,-,"$3,250,402",100%
58,Gangubai Kathiawadi,"$3,192,000","$592,000",18.5%,"$2,600,000",81.5%
59,In Our Prime,"$3,026,664",-,-,"$3,026,664",100%
60,Studio 666,"$2,988,867","$2,513,963",84.1%,"$474,904",15.9%
61,The Young Lovers,"$2,955,577",-,-,"$2,955,577",100%
62,Disobedient,"$2,923,714",-,-,"$2,923,714",100%
63,Chia Khoa Tram Ty,"$2,851,565",-,-,"$2,851,565",100%
64,What to Do with the Dead Kaiju?,"$2,827,966",-,-,"$2,827,966",100%
65,Permis de construire,"$2,717,103",-,-,"$2,717,103",100%
66,¡Qué Despadre!,"$2,681,505",-,-,"$2,681,505",100%
67,The Wannabes,"$2,627,605",-,-,"$2,627,605",100%
68,The Glance of Music,"$2,577,630",-,-,"$2,577,630",100%
69,Chuyen Ma Gan Nhà,"$2,569,119",-,-,"$2,569,119",100%
70,Promises,"$2,533,430",-,-,"$2,533,430",100%
71,The Outfit,"$2,332,990","$2,332,990",100%,-,-
72,Ensemble Stars!! Road to Show!!,"$2,287,844",-,-,"$2,287,844",100%
73,Mister Knockout,"$2,266,585",-,-,"$2,266,585",100%
